target,regressor,RMSE,MAE,R2
u,Ridge,4.425002195468632,3.521072781020647,-0.024153266764088244
u,Linear,4.425693021211744,3.5218062502472818,-0.024473070749809978
u,SVR,4.458166668583593,3.480849989734693,-0.039562427788189636
u,KNN,4.908619774676245,3.8309797196800006,-0.2602501530691663
u,RandomForest,4.9895272359822265,3.9363696435670006,-0.3021372679258736
u,DecisionTree,5.8986564308880896,4.3845642868390975,-0.8198859668896386
u,MLP,8.241128162719345,6.065408673268677,-2.552313693251047
v,MLP,5.096732938675742,3.7219147573876574,0.9734538415075757
v,KNN,14.420170706460649,9.748804302179998,0.7875000996992089
v,RandomForest,15.673539618448057,10.724101143537997,0.748954697459633
v,DecisionTree,19.92552376799737,14.283376702583334,0.5942697208005716
v,Ridge,20.012983083373523,14.7034901162559,0.5907001514412007
v,Linear,20.033458542225393,14.742134159230082,0.5898622064625643
v,SVR,27.439685528727928,18.07325066088895,0.23055747109329094
w,MLP,1.1074230744456603,0.7651137299126944,0.5943275389831738
w,KNN,1.4741023608970538,1.0116430194600001,0.28120727380663435
w,SVR,1.4820498366910149,1.0141672589529582,0.27343578199197704
w,RandomForest,1.6704772600002116,1.236038634836,0.07694086174221793
w,Ridge,1.7564714607578484,1.3478291588018607,-0.02054130202972182
w,Linear,1.757354412272451,1.348128448008087,-0.02156758112417201
w,DecisionTree,2.125462898014999,1.4327229315309618,-0.49436073175793593
