target,regressor,MSE,MAE,R2
u,Linear,1.47013739934291e-17,3.1527806197695353e-09,1.0
u,Ridge,0.0028638762680793174,0.041792983221738626,0.9998502067566744
u,MLP,0.08417162214152484,0.21846380195173246,0.9955974563506486
u,SVR,3.2866214488563172,1.1258630384915633,0.8280953364168756
u,KNN,5.174457809020883,1.80914777498,0.729353245353419
u,RandomForest,6.151656211521234,1.9474205976749999,0.6782414987620236
u,DecisionTree,12.289486919774681,2.8892502350166667,0.35720613175934
v,MLP,390.8864701675604,14.151264900630352,0.6005443523206824
v,KNN,609.2575283265223,17.36703238072,0.37738607203046515
v,RandomForest,891.091167940026,22.55345282539,0.08937395689797645
v,SVR,936.828623304851,22.000990876664904,0.04263382581048125
v,Ridge,1003.5727390088457,24.666773240382796,-0.025573482454482876
v,Linear,1004.5946900155792,24.685054136409203,-0.02661783710077259
v,DecisionTree,1636.550331397578,28.99912689729834,-0.6724274757015478
w,KNN,2.5924269841821697,1.25653647986,0.1424589405382709
w,Ridge,3.026661344990802,1.3651157174999071,-0.0011801266734885463
w,Linear,3.028907163745276,1.365516637266269,-0.0019230142478816603
w,RandomForest,3.111910972365892,1.348417305236,-0.02937959235719223
w,SVR,3.138418063477805,1.2417021568164153,-0.038147792632089894
w,MLP,3.260963793071089,1.324826633094509,-0.07868432285227955
w,DecisionTree,5.050673714012888,1.6691437802054758,-0.6706970395451524
