mode,target,regressor,MSE,MAE,R2
none,u,Linear,4.851757007162978e-29,5.567028319812076e-15,1.0
none,u,Ridge,1.5700791752458194e-05,0.0032363163778364873,0.9999992973816689
none,u,RandomForest,1.6899241822279547,1.0415785099733808,0.924375042531707
none,u,SVR,0.17701711480918325,0.21849726970378697,0.9920783950431696
none,u,KNN,1.2154949878237153,0.8569173765649732,0.945605987698274
none,u,MLP,0.01192442203883335,0.08349563302948675,0.99946637611379
none,v,Linear,798.9490256726214,21.882042914741586,-0.021868795682612463
none,v,Ridge,798.9314457645742,21.881857220382656,-0.021846310694350057
none,v,RandomForest,415.0695415020893,15.652193295298408,0.4691193069017233
none,v,SVR,558.6648261307806,16.686418608563308,0.28545860283404056
none,v,KNN,223.37122622471236,11.297523656181465,0.7143045693807182
none,v,MLP,26.828652628154742,3.967030443789214,0.9656857170232618
none,w,Linear,2.6203402040716606,1.3611945562086352,-0.03944746131762389
none,w,Ridge,2.620274441972579,1.3611800601483863,-0.03942137453437544
none,w,RandomForest,2.4752251050279264,1.3129556079730351,0.018117400323425792
none,w,SVR,2.2231303138549574,1.0708701670717837,0.1181194116229376
none,w,KNN,1.979541203250789,1.0722114034689032,0.2147473541430288
none,w,MLP,0.9360984577192609,0.7229652467784785,0.6286645665674719
congruent,u,Linear,22.38822790138342,3.8402233690221497,-0.0018844635978980673
congruent,u,Ridge,22.38805481198595,3.840215319286003,-0.0018767177602683205
congruent,u,RandomForest,26.55497687459208,4.122468773209546,-0.18834857671836036
congruent,u,SVR,23.71598937462255,3.961132977932653,-0.06130245761072217
congruent,u,KNN,29.226643653094445,4.287868007137582,-0.30790700935012616
congruent,u,MLP,25.288279008674305,4.045654726962773,-0.13166320985834146
congruent,v,Linear,109.9733212239336,7.3879605478829244,0.8593423338595241
congruent,v,Ridge,110.03040301613242,7.387688580787923,0.859269325319085
congruent,v,RandomForest,5.1287618209495855,1.0404896831455768,0.9934402302313287
congruent,v,SVR,61.26544103477022,2.8881740888375838,0.9216405046686696
congruent,v,KNN,11.98616526203972,2.385156116541465,0.9846694997207592
congruent,v,MLP,0.12138798419221052,0.2567429214478009,0.9998447427943074
congruent,w,Linear,1.5434807431562807,1.0132267434016076,0.3877256328878739
congruent,w,Ridge,1.543130455764736,1.0131043650238913,0.3878645863486905
congruent,w,RandomForest,0.27150345049926805,0.26463712472398526,0.8922988809155709
congruent,w,SVR,0.3417010167300711,0.30723317610235473,0.8644526180921773
congruent,w,KNN,0.2130212187360055,0.27830239928666517,0.9154978560883571
congruent,w,MLP,0.06866956228312546,0.13927724286302678,0.9727598721440541
similar,u,Linear,22.356439252889633,3.8495498073380947,-0.0004619055828112284
similar,u,Ridge,22.356421688227854,3.849538836042863,-0.00046111955535899085
similar,u,RandomForest,26.916536890485343,4.0926697041758064,-0.20452856935454777
similar,u,SVR,23.14154566239295,3.9306587684191086,-0.035595812447494435
similar,u,KNN,27.63858552708778,4.192068139385798,-0.23684060915334437
similar,u,MLP,27.80563888607903,4.042256717572223,-0.24431633102389205
similar,v,Linear,789.5140445274064,21.890058349457284,-0.009801301374033455
similar,v,Ridge,789.498630133325,21.889872205143586,-0.00978158611334723
similar,v,RandomForest,426.2334114531897,14.611774661357835,0.45484053569665917
similar,v,SVR,660.1395706157293,17.721986850039116,0.1556707545395425
similar,v,KNN,439.2833045853071,14.775257588573755,0.4381495101741275
similar,v,MLP,401.8496405587114,14.62859435843463,0.48602777517938345
similar,w,Linear,2.678485372353488,1.3462364558312518,-0.06251272874531044
similar,w,Ridge,2.6779678718396274,1.346226579906065,-0.062307444486981334
similar,w,RandomForest,0.12239931811663549,0.14592605071045534,0.9514461289088912
similar,w,SVR,0.8340767888839354,0.5872494997333765,0.6691349469041492
similar,w,KNN,0.09169737065069121,0.13743349035707378,0.9636251052499764
similar,w,MLP,0.4127370884700905,0.33070674789471755,0.8362737334124686
length,u,Linear,22.617617534108653,3.8775881417307336,-0.012149765083579123
length,u,Ridge,22.617305353752975,3.877556558321545,-0.012135794855583804
length,u,RandomForest,27.724723259524787,4.20510452072888,-0.24069531602153993
length,u,SVR,23.939419174405888,3.9641208142071855,-0.07130105357346395
length,u,KNN,31.66886588460686,4.427863538913428,-0.4171976830552335
length,u,MLP,24.733368611620232,3.9782344186850196,-0.10683069037773252
length,v,Linear,276.16275307189176,12.850096846612457,0.6467833480910905
length,v,Ridge,276.22918849508903,12.849460324262903,0.6466983761045033
length,v,RandomForest,33.46040388487219,4.107751150393209,0.957203599325874
length,v,SVR,98.90796087160756,5.945234368755223,0.8734951096858743
length,v,KNN,33.19076561498359,3.97025502094002,0.9575484710576957
length,v,MLP,2.562174900061061,1.0703386150492926,0.9967229366388558
length,w,Linear,2.3810056086297746,1.288946584830999,0.055492782415225816
length,w,Ridge,2.3810522517093364,1.2889775470995506,0.05547427984423792
length,w,RandomForest,1.2287077864764289,0.7869888801368281,0.5125910798263685
length,w,SVR,0.988177392889653,0.641375966879549,0.608005677745756
length,w,KNN,0.9485456178002558,0.6391213917732669,0.6237269752857368
length,w,MLP,0.15155849869895122,0.21178062746672494,0.9398791437581488
angle,u,Linear,22.222780578550772,3.8410346218081335,0.005519387346448079
angle,u,Ridge,22.222886219655848,3.8410404403818825,0.00551465985384092
angle,u,RandomForest,26.87845650926793,4.148999830348153,-0.20282445313428865
angle,u,SVR,23.117923894552387,3.903680705160948,-0.034538726450942026
angle,u,KNN,26.899046551305542,4.169300567592101,-0.20374586787569537
angle,u,MLP,23.465705529450375,3.9251193436362737,-0.05010212960476812
